County,2000 totals,Childhood Poverty 2000,2022 totals,Childhood Poverty 2023
Bronx County,"141,508",36.3,"115,129",35.3
Kings County,"207,556",32.5,"154,478",27.5
New York County,"78,922",29.8,"46,325",21.1
Queens County,"109,002",22.2,"69,821",16.1
Richmond County,"13,494",12.2,"14,918",14.5
Rest of State,"329,023",12.6,"324,393",14.3
Albany County,"7,831",12.4,"8,319",15.2
Allegany County,"2,285",20.6,"1,767",19.9
Broome County,"7,166",16.6,"9,765",27
Cattaraugus County,"3,703",18.4,"3,214",20
Cayuga County,"3,011",16,"2,487",17.9
Chautauqua County,"6,368",20.2,"6,551",26.6
Chemung County,"3,577",17.3,"3,505",21.1
Chenango County,"2,529",20.6,"1,554",16.9
Clinton County,"2,400",14.3,"1,916",14
Columbia County,"1,983",14.4,"1,404",15.3
Cortland County,"1,699",16,"1,344",16.2
Delaware County,"1,981",20.1,"1,313",19.2
Dutchess County,"5,835",8.6,"4,802",9.2
Erie County,"34,856",16,"30,716",16.6
Essex County,"1,268",15.7,878,16.2
Franklin County,"2,103",20,"2,059",22.5
Fulton County,"2,299",18.6,"1,774",17.8
Genesee County,"1,620",11.2,"1,377",12.2
Greene County,"1,846",18.1,"1,160",15.8
Hamilton County,103,10.7,93,15
Herkimer County,"2,276",15.9,"1,884",15.9
Jefferson County,"5,122",18.1,"4,606",17.2
Lewis County,"1,205",17.8,"1,087",18.7
Livingston County,"1,567",11.4,"1,370",13
Madison County,"1,854",11.6,"1,819",15.1
Monroe County,"26,472",14.8,"28,228",19
Montgomery County,"2,230",19.6,"2,207",19.8
Nassau County,"21,756",6.9,"19,010",6.6
Niagara County,"7,622",15,"8,602",21.3
Oneida County,"8,884",16.9,"10,065",21.3
Onondaga County,"16,417",14.6,"17,964",18.9
Ontario County,"2,524",10.5,"2,667",12.8
Orange County,"12,619",13,"21,249",21
Orleans County,"1,765",16.7,"1,269",17.5
Oswego County,"5,287",17.6,"5,540",23.5
Otsego County,"2,122",16.8,"1,488",17.1
Putnam County,"1,092",4.4,"1,058",5.8
Rensselaer County,"4,251",12.1,"4,335",14.8
Rockland County,"11,171",14.3,"22,495",23.1
St. Lawrence County,"4,935",20.7,"4,513",21.9
Saratoga County,"3,862",8,"3,294",7.5
Schenectady County,"5,032",14.8,"4,847",14.6
Schoharie County,"1,023",15,689,13.7
Schuyler County,770,17.5,577,18.1
Seneca County,"1,230",16,"1,273",19.4
Steuben County,"4,236",17.8,"3,331",17.5
Suffolk County,"31,193",8.6,"21,440",7.1
Sullivan County,"3,604",20.8,"4,044",24.9
Tioga County,"1,558",12.2,"1,382",14.9
Tompkins County,"1,957",11.6,"1,718",12.3
Ulster County,"5,926",15.2,"4,876",16.4
Warren County,"2,079",14.7,"1,581",14.3
Washington County,"2,071",14.9,"1,572",14.6
Wayne County,"3,027",12.6,"2,627",14.2
Westchester County,"23,358",10.3,"21,344",10.5
Wyoming County,"1,210",12.8,"1,197",16.9
Yates County,"1,253",20.9,"1,147",21.7
